4Y,1173,NUP,7212,BET,3599,,0,CNA
4Y,1173,OOK,8200,TNK,8201,,0,CNA
4Y,1173,PKA,9744,BET,3599,,0,CNA
4Y,1173,PQS,7216,BET,3599,,0,CNA
4Y,1173,PTU,3430,BET,3599,,0,CNA
4Y,1173,TLT,7218,BET,3599,,0,CNA
4Y,1173,TNK,8201,WWT,8203,,0,CNA
4Y,1173,WNA,9739,PKA,9744,,0,CNA
4Y,1173,WTL,7099,KKH,7213,,0,CNA
4Y,1173,WWT,8203,BET,3599,,0,CNA
5C,1581,BOC,1865,SJO,1885,,0,DHT
5C,1581,DRK,6945,SJO,1885,,0,DHT
5C,1581,FON,6731,XQP,1889,,0,DHT
5C,1581,GLF,1879,PJM,5847,,0,DHT
5C,1581,LIR,1881,SJO,1885,,0,DHT
5C,1581,LIR,1881,SYQ,5848,,0,DHT
5C,1581,LIR,1881,TNO,5844,,0,DHT
5C,1581,MGA,1863,SJO,1885,,0,DHT
5C,1581,NOB,1884,TMU,6732,,0,CNA
5C,1581,PJM,5847,SJO,1885,,0,DHT
5C,1581,PMZ,1887,SJO,1885,,0,CNA
5C,1581,SJO,1885,BOC,1865,,0,DHT
5C,1581,SJO,1885,DRK,6945,,0,DHT
5C,1581,SJO,1885,FON,6731,,0,DHT
5C,1581,SJO,1885,GLF,1879,,0,DHT
5C,1581,SJO,1885,MGA,1863,,0,DHT
5C,1581,SJO,1885,NOB,1884,,0,CNA
5C,1581,SJO,1885,PJM,5847,,0,DHT
5C,1581,SJO,1885,TMU,6732,,0,DHT
5C,1581,SJO,1885,TNO,5844,,0,DHT
5C,1581,SJO,1885,TTQ,5842,,0,CNA
5C,1581,SJO,1885,XQP,1889,,0,CNA DHT
5C,1581,SYQ,5848,LIR,1881,,0,DHT
5C,1581,TMU,6732,SJO,1885,,0,CNA DHT
5C,1581,TNO,5844,LIR,1881,,0,DHT
5C,1581,TNO,5844,SJO,1885,,0,DHT
5C,1581,TTQ,5842,SJO,1885,,0,CNA
5C,1581,XQP,1889,PMZ,1887,,0,CNA
5C,1581,XQP,1889,SJO,1885,,0,CNA DHT
5G,4496,ACC,248,KMS,5556,,0,AT7
5G,4496,KMS,5556,ACC,248,,0,AT7
5H,8576,EDL,1138,LOK,1143,,0,DH8
5H,8576,EDL,1138,NBO,4059,,0,DH8 CRJ
5H,8576,JUB,1173,NBO,4059,,0,CRJ
5H,8576,KIS,1140,EDL,1138,,0,CRJ
5H,8576,KIS,1140,NBO,4059,,0,CRJ CNA
5H,8576,LAU,1144,MYD,5694,,0,DH8
5H,8576,LOK,1143,EDL,1138,,0,DH8
5H,8576,MBA,1145,NBO,4059,,0,CRJ
5H,8576,MBA,1145,ZNZ,1186,,0,CRJ
5H,8576,MYD,5694,LAU,1144,,0,DH8
5H,8576,MYD,5694,NBO,4059,,0,DH8
5H,8576,NBO,4059,EDL,1138,,0,DH8 CRJ
5H,8576,NBO,4059,JUB,1173,,0,CRJ
5H,8576,NBO,4059,KIS,1140,,0,CRJ
5H,8576,NBO,4059,LOK,1143,,0,DH8
5H,8576,NBO,4059,MBA,1145,,0,CRJ
5H,8576,NBO,4059,MYD,5694,,0,DH8
5H,8576,ZNZ,1186,MBA,1145,,0,CRJ
5J,1683,BCD,2423,CEB,4206,,0,320 ATR
